Division	Region	Brand	WrittenDate	UnitsSold
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	1/1/2014	16
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	1/2/2014	14
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	1/3/2014	20
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	1/4/2014	35
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	1/5/2014	17
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	1/6/2014	15
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	1/7/2014	11
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	1/8/2014	15
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	1/9/2014	7
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	1/10/2014	11
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	1/11/2014	19
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	1/12/2014	9
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	1/13/2014	6
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	1/14/2014	15
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	1/15/2014	10
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	1/16/2014	9
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	1/17/2014	19
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	1/18/2014	20
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	1/19/2014	11
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	1/20/2014	26
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	1/21/2014	5
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	1/22/2014	6
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	1/23/2014	4
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	1/24/2014	6
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	1/25/2014	23
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	1/26/2014	19
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	1/27/2014	15
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	1/28/2014	5
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	1/30/2014	8
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	1/31/2014	10
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	2/1/2014	28
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	2/2/2014	17
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	2/3/2014	11
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	2/4/2014	15
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	2/5/2014	6
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	2/6/2014	7
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	2/7/2014	26
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	2/8/2014	37
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	2/9/2014	24
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	2/10/2014	15
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	2/11/2014	23
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	2/12/2014	16
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	2/13/2014	35
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	2/14/2014	28
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	2/15/2014	59
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	2/16/2014	45
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	2/17/2014	65
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	2/18/2014	21
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	2/19/2014	23
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	2/20/2014	25
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	2/21/2014	28
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	2/22/2014	55
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	2/23/2014	32
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	2/24/2014	28
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	2/25/2014	20
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	2/26/2014	37
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	2/27/2014	18
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	2/28/2014	40
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/1/2014	67
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/2/2014	40
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/3/2014	6
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/4/2014	16
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/5/2014	24
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/6/2014	18
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/7/2014	22
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/8/2014	36
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/9/2014	10
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/10/2014	24
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/11/2014	18
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/12/2014	13
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/13/2014	18
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/14/2014	20
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/15/2014	37
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/16/2014	18
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/17/2014	12
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/18/2014	9
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/19/2014	14
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/20/2014	20
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/21/2014	15
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/22/2014	38
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/23/2014	18
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/24/2014	22
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/25/2014	21
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/26/2014	17
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/27/2014	13
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/28/2014	19
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/29/2014	21
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/30/2014	14
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/31/2014	25
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/1/2014	13
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/2/2014	17
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/3/2014	16
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/4/2014	18
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/5/2014	24
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/6/2014	19
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/7/2014	11
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/8/2014	16
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/9/2014	17
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/10/2014	10
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/11/2014	17
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/12/2014	24
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/13/2014	13
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/14/2014	17
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/15/2014	11
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/16/2014	22
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/17/2014	15
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/18/2014	18
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/19/2014	19
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/20/2014	3
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/21/2014	14
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/22/2014	13
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/23/2014	13
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/24/2014	11
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/25/2014	17
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/26/2014	25
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/27/2014	15
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/28/2014	7
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/29/2014	20
