year_week	UnitsSold
2014_01	202
2014_02	87
2014_03	90
2014_04	89
2014_05	83
2014_06	126
2014_07	221
2014_08	249
2014_09	250
2014_10	132
2014_11	148
2014_12	126
2014_13	127
2014_14	132
2014_15	108
2014_16	105
2014_17	108
2014_18	144
2014_19	92
2014_20	104
2014_21	200
2014_22	218
2014_23	144
2014_24	120
2014_25	217
2014_26	239
2014_27	342
2014_28	224
2014_29	248
2014_30	306
2014_31	320
2014_32	347
2014_33	333
2014_34	271
2014_35	352
2014_36	268
2014_37	197
2014_38	167
2014_39	176
2014_40	191
2014_41	254
2014_42	205
2014_43	149
2014_44	166
2014_45	192
2014_46	244
2014_47	208
2014_48	392
2014_49	199
2014_50	219
2014_51	196
2014_52	226
2015_01	178
2015_02	152
2015_03	223
2015_04	166
2015_05	175
2015_06	221
2015_07	287
2015_08	208
2015_09	213
2015_10	207
2015_11	174
2015_12	170
2015_13	209
2015_14	179
2015_15	170
2015_16	181
2015_17	165
2015_18	211
2015_19	187
2015_20	220
2015_21	387
2015_22	305
2015_23	226
2015_24	264
2015_25	220
2015_26	237
2015_27	464
2015_28	282
2015_29	225
2015_30	297
2015_31	372
2015_32	419
2015_33	387
2015_34	306
2015_35	255
2015_36	409
2015_37	328
2015_38	206
2015_39	207
2015_40	240
2015_41	276
2015_42	218
2015_43	151
2015_44	165
2015_45	184
2015_46	270
2015_47	200
2015_48	355
2015_49	194
2015_50	182
2015_51	227
2015_52	185
2015_53	122
2016_01	170
2016_02	166
2016_03	131
2016_04	160
2016_05	164
2016_06	322
2016_07	271
2016_08	260
2016_09	257
2016_10	211
2016_11	169
2016_12	139
2016_13	204
2016_14	194
2016_15	169
2016_16	168
2016_17	204
2016_18	221
2016_19	286
2016_20	289
2016_21	472
2016_22	458
2016_23	298
2016_24	303
2016_25	308
2016_26	464
2016_27	372
2016_28	325
2016_29	300
2016_30	424
2016_31	451
2016_32	369
2016_33	334
2016_34	292
2016_35	422
2016_36	324
2016_37	210
2016_38	180
2016_39	269
2016_40	188
2016_41	245
2016_42	218
2016_43	199
2016_44	247
2016_45	284
2016_46	265
2016_47	445
2016_48	244
2016_49	236
2016_50	295
2016_51	239
2016_52	289
2016_53	128
2017_01	151
2017_02	239
2017_03	210
2017_04	208
2017_05	204
2017_06	217
2017_07	245
2017_08	429
2017_09	330
2017_10	248
2017_11	259
2017_12	225
2017_13	192
2017_14	228
2017_15	209
2017_16	210
2017_17	203
2017_18	200
2017_19	214
2017_20	248
2017_21	287
2017_22	295
2017_23	213
2017_24	232
2017_25	219
2017_26	306
2017_27	313
2017_28	238
2017_29	251
2017_30	319
2017_31	410
2017_32	344
2017_33	328
2017_34	272
2017_35	333
2017_36	304
2017_37	236
2017_38	219
2017_39	213
2017_40	250
2017_41	227
2017_42	186
2017_43	147
2017_44	107
2017_52	26
